#;Status;BANCO;FORNCEDORA;PREFIXO;PLACA;RENAVAM;MOD. CHASSI;CARROCERIA;ANO/MOD;MODELO;SITUAÇÃO;;;;;;;;;;;;;;;
21;ETBL;GUANABARA;EXP. FENIX VIAÇÃO;529;LNH6J08;1185804010;OF-1721;CAIO APACHE U;2019;2020;PRONTO;;;;;;;;;;;;;;;
42;ETBL;GUANABARA;EXP. FENIX VIAÇÃO;521;LMT7J01;1185800988;OF-1721;CAIO APACHE U;2019;2020;BRASO;;;;;;;;;;;;;;;
56;ETBL;SANTANDER;VIAÇÃO NOVACAP;548;LMW7H15;1193894635;OF-1721;CAIO APACHE U;2019;2020;BRASO;;;;;;;;;;;;;;;
2;ETBL;GUANABARA;VIAÇÃO VILA REAL;508;LOA7D66;1172495910;OF-1721;CAIO APACHE U;2018;2019;BRASO;;;;;;;;;;;;;;;
3;ETBL;GUANABARA;VIAÇÃO VILA REAL;512;KZI9I55;1158370366;OF-1721;CAIO APACHE U;2018;2019;BRASO;;;;;;;;;;;;;;;
6;ETBL;GUANABARA;VIAÇÃO VILA REAL;514;KZI9I56;1158413529;OF-1721;CAIO APACHE U;2018;2019;BRASO;;;;;;;;;;;;;;;
15;ETBL;GUANABARA;EXP. FENIX VIAÇÃO;516;LTI3C00;1162699865;OF-1721;CAIO APACHE U;2018;2019;BRASO;;;;;;;;;;;;;;;
19;ETBL;GUANABARA;TRANSP. STO ANTONIO;554;LMZ3D22;1200786774;OF-1721L;CAIO APACHE U;2019;2020;BRASO;;;;;;;;;;;;;;;
52;ETBL;SANTANDER;VIAÇÃO PENDOTIBA;558;RJV3I16;-;OF-1721L;CAIO APACHE U;2021;2022;BRASO;;;;;;;;;;;;;;;
54;ETBL;GUANABARA;VIAÇÃO VILA REAL;509;LTM1372;1158385827;OF-1721;CAIO APACHE U;2018;2019;REFORMAR;;;;;;;;;;;;;;;
48;ETBL;GUANABARA;EXP. FENIX VIAÇÃO;518;KYQ9H36;1162705733;OF-1721;CAIO APACHE U;2018;2019;REFORMAR;;;;;;;;;;;;;;;
1;ETBL;SANTANDER;VIAÇÃO NOVACAP;543;LUD8I86;1206219103;OF-1721;CAIO APACHE U;2019;2020;REFORMAR;;;;;;;;;;;;;;;
